epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,285.986,1.77829,2.7787,1.65132,1.44546,0.69453,0.54209,0.61974,0.32145,0.67465,0.51429,0.58145,0.27733,1.65685,2.20882,1.5481,1.5071,0.00083622,0.00083622,0.00083622
42,292.457,1.79416,2.73766,1.6102,1.43961,0.66081,0.56459,0.62242,0.33365,0.65673,0.55284,0.61615,0.29922,1.72246,2.30316,1.51009,1.53897,0.000828443,0.000828443,0.000828443
43,298.842,1.79413,2.76157,1.59439,1.45839,0.54524,0.64834,0.65075,0.35348,0.52856,0.6292,0.62445,0.29157,1.67939,2.45817,1.51859,1.51861,0.000820525,0.000820525,0.000820525
44,305.257,1.80648,2.72878,1.56303,1.4625,0.58111,0.62508,0.63166,0.32288,0.55858,0.60536,0.60049,0.28155,1.7265,2.62042,1.46885,1.53919,0.000812468,0.000812468,0.000812468
45,311.351,1.80323,2.74268,1.56536,1.47484,0.64634,0.66854,0.68244,0.35955,0.63674,0.6593,0.6767,0.3238,1.59887,2.3887,1.33322,1.45739,0.000804277,0.000804277,0.000804277
46,317.677,1.79296,2.72448,1.53218,1.42708,0.62553,0.66764,0.67959,0.34776,0.61527,0.65828,0.66019,0.30819,1.638,2.46448,1.39264,1.47768,0.000795954,0.000795954,0.000795954
47,323.855,1.78726,2.71171,1.55691,1.41977,0.61133,0.628,0.6747,0.34461,0.57237,0.66728,0.66137,0.30457,1.63957,2.2781,1.40122,1.46139,0.000787503,0.000787503,0.000787503
48,329.986,1.76004,2.71246,1.53798,1.42361,0.64155,0.65128,0.6986,0.38253,0.6325,0.60951,0.66497,0.34005,1.5918,2.26555,1.37511,1.42464,0.000778929,0.000778929,0.000778929
49,336.475,1.7799,2.7083,1.57601,1.42353,0.63649,0.58244,0.60303,0.29567,0.6283,0.56689,0.58804,0.24826,1.8428,2.54111,1.70414,1.58445,0.000770234,0.000770234,0.000770234
50,342.544,1.80365,2.72318,1.62441,1.44664,0.59315,0.61304,0.655,0.34227,0.62598,0.58566,0.63398,0.30623,1.73845,2.41522,1.42044,1.50114,0.000761423,0.000761423,0.000761423
51,348.602,1.77738,2.70919,1.52624,1.43057,0.66018,0.6283,0.69957,0.38527,0.65732,0.60561,0.67481,0.34132,1.55555,2.18066,1.32088,1.39273,0.0007525,0.0007525,0.0007525
52,355.071,1.73105,2.69148,1.54174,1.40397,0.62277,0.61977,0.6384,0.31885,0.60672,0.60639,0.62764,0.28677,1.7537,2.3182,1.46454,1.50118,0.000743468,0.000743468,0.000743468
53,361.164,1.72128,2.62706,1.52188,1.40984,0.62436,0.67883,0.70827,0.36862,0.6172,0.67311,0.69538,0.33791,1.66093,2.29266,1.40327,1.46091,0.000734332,0.000734332,0.000734332
54,367.29,1.72853,2.63711,1.47732,1.40547,0.74854,0.64051,0.73839,0.40498,0.73054,0.62057,0.71719,0.38082,1.59437,2.16557,1.27096,1.42495,0.000725094,0.000725094,0.000725094
55,373.679,1.71254,2.63972,1.44239,1.3998,0.72115,0.68751,0.73592,0.40436,0.71615,0.67404,0.72404,0.38453,1.6083,2.10735,1.24753,1.43556,0.000715761,0.000715761,0.000715761
