epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,635.291,1.02971,0.77561,1.45365,0.92926,0.87979,0.94711,0.69218,1.01271,0.71219,1.74018,4.86777e-05,4.86777e-05,4.86777e-05
133,640.01,1.02883,0.77092,1.4592,0.92797,0.87783,0.94515,0.69092,1.02123,0.7203,1.74028,4.47606e-05,4.47606e-05,4.47606e-05
134,644.572,1.05399,0.77923,1.42936,0.9288,0.87731,0.94528,0.6905,1.02585,0.71788,1.74141,4.10454e-05,4.10454e-05,4.10454e-05
135,649.185,1.0295,0.77206,1.44498,0.92996,0.87612,0.94463,0.69332,1.0158,0.71314,1.73806,3.75337e-05,3.75337e-05,3.75337e-05
136,653.858,1.03376,0.78258,1.45695,0.93074,0.87419,0.94442,0.6976,1.00417,0.70885,1.73253,3.4227e-05,3.4227e-05,3.4227e-05
137,658.517,1.04937,0.7866,1.50917,0.92529,0.87423,0.94581,0.69823,0.9935,0.70312,1.72759,3.11268e-05,3.11268e-05,3.11268e-05
138,663.084,1.04873,0.78815,1.44541,0.93657,0.86769,0.9479,0.70526,0.98618,0.69697,1.72901,2.82345e-05,2.82345e-05,2.82345e-05
139,667.754,1.03722,0.78428,1.48546,0.937,0.87159,0.9499,0.70763,0.98773,0.69618,1.73591,2.55513e-05,2.55513e-05,2.55513e-05
140,672.61,1.04974,0.79734,1.47209,0.9161,0.8899,0.95183,0.71216,0.98264,0.69492,1.73107,2.30784e-05,2.30784e-05,2.30784e-05
141,678.722,0.896,0.67287,1.52934,0.90469,0.90066,0.9497,0.71541,0.98012,0.69145,1.72963,2.08169e-05,2.08169e-05,2.08169e-05
142,683.555,0.89671,0.69806,1.5389,0.91796,0.88942,0.94698,0.71183,0.98079,0.68989,1.72742,1.87678e-05,1.87678e-05,1.87678e-05
143,688.048,0.88303,0.65351,1.48685,0.92796,0.88766,0.94515,0.70271,0.98451,0.6972,1.71904,1.6932e-05,1.6932e-05,1.6932e-05
144,692.574,0.87645,0.6461,1.42324,0.9294,0.88068,0.94336,0.69925,0.99095,0.71143,1.7156,1.53102e-05,1.53102e-05,1.53102e-05
145,697.07,0.85071,0.63328,1.47975,0.92456,0.88406,0.9417,0.69548,0.99526,0.71912,1.7218,1.39032e-05,1.39032e-05,1.39032e-05
146,701.572,0.86903,0.65563,1.476,0.92387,0.882,0.9409,0.69052,0.99817,0.72297,1.73079,1.27117e-05,1.27117e-05,1.27117e-05
147,706.089,0.85121,0.64228,1.45256,0.91975,0.8823,0.94043,0.69113,1.00251,0.73119,1.73734,1.1736e-05,1.1736e-05,1.1736e-05
148,710.572,0.83442,0.62072,1.46343,0.91346,0.89119,0.93872,0.6874,1.00565,0.73412,1.7444,1.09768e-05,1.09768e-05,1.09768e-05
149,715.069,0.87082,0.65138,1.4735,0.91246,0.8921,0.93791,0.68527,1.00783,0.73543,1.74634,1.04342e-05,1.04342e-05,1.04342e-05
150,719.693,0.8379,0.63093,1.45485,0.91179,0.89067,0.93794,0.68754,1.00675,0.73092,1.74611,1.01086e-05,1.01086e-05,1.01086e-05
